scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,22.293375,22.14408333,0.1070082,282.9504533,22.25,0.1068
pedal,48000,128,24000,5,3258.911458,3230.269125,15.642775,458.424851,3242.25,15.5628
american,48000,128,24000,5,10101.00346,9398.680542,48.4848166,416.6763925,9097.625,43.6686
british,48000,128,24000,5,7853.739583,7671.102417,37.69795,426.4653247,7551,36.2448
modern,48000,128,24000,5,992.9444583,989.0572917,4.7661334,447.0182263,975.25,4.6812
compressor,48000,128,24000,5,36.49829167,36.109375,0.1751918,322.1904815,36.45833333,0.175
delay,48000,128,24000,5,22.85070833,22.28125,0.1096834,581.8787842,22.83333333,0.1096
room,48000,128,24000,5,22.513875,22.27604167,0.1080666,784.4653009,22.5,0.108
all-american,48000,128,24000,5,13033.41146,12738.33854,62.560375,830.0109392,12375.04167,59.4002
all-british,48000,128,24000,5,10995.31425,10831.62671,52.7775084,825.8753061,10851.25,52.086
all-modern,48000,128,24000,5,4015.348958,3713.065958,19.273675,835.9648395,3772.916667,18.11
automation,48000,128,24000,5,14599.32467,13727.59375,70.0767584,801.4880887,13709.91667,65.8076
