scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,50.949625,23.19095833,0.2445582,282.9504533,24.08333333,0.1156
pedal,48000,128,24000,5,1730.7795,1704.425375,8.3077416,457.0258058,1678.375,8.0562
american,48000,128,24000,5,8141.663208,7695.258708,39.0799834,414.0304212,7405.5,35.5464
british,48000,128,24000,5,5222.262167,4861.739583,25.0668584,424.2954366,5039.791667,24.191
modern,48000,128,24000,5,498.4461667,491.7309167,2.3925416,445.4294367,494.75,2.3748
compressor,48000,128,24000,5,36.62325,36.07466667,0.1757916,322.1904815,36.58333333,0.1756
delay,48000,128,24000,5,22.84895833,22.67708333,0.109675,581.8787842,22.79166667,0.1094
room,48000,128,24000,5,22.29166667,22.23783333,0.107,784.4653009,22.33333333,0.1072
all-american,48000,128,24000,5,7999.605917,7827.408,38.3981084,825.8420162,7649.208333,36.7162
all-british,48000,128,24000,5,7915.960083,7317.295125,37.9966084,821.8612565,7028.791667,33.7382
all-modern,48000,128,24000,5,2138.088542,2093.434,10.262825,831.6453432,2050.75,9.8436
automation,48000,128,24000,5,9437.076375,9154.043417,45.2979666,797.7216215,8875.375,42.6018
