scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,23.816,23.15279167,0.1143168,282.9504533,23.5,0.1128
pedal,48000,128,24000,5,3921.626708,3733.699667,18.8238082,458.424851,3418.708333,16.4098
american,48000,128,24000,5,13040.62154,12373.31771,62.5949834,416.6763783,11294.125,54.2118
british,48000,128,24000,5,11696.91321,10899.59896,56.1451834,426.4653469,10202.83333,48.9736
modern,48000,128,24000,5,1065.559042,1026.838542,5.1146834,447.0182263,1000.791667,4.8038
compressor,48000,128,24000,5,38.984375,38.10416667,0.187125,322.1904815,38.95833333,0.187
delay,48000,128,24000,5,22.87675,22.53645833,0.1098084,581.8787842,22.875,0.1098
room,48000,128,24000,5,26.763875,23.578125,0.1284666,784.4653009,24.66666667,0.1184
all-american,48000,128,24000,5,16010.19271,15548.62675,76.848925,830.0109858,14609.33333,70.1248
all-british,48000,128,24000,5,15659.09375,14444.22742,75.16365,825.8752468,13730.20833,65.905
all-modern,48000,128,24000,5,4176.005208,4040.684,20.044825,835.9648395,3893.25,18.6876
automation,48000,128,24000,5,18991.10592,18806.48958,91.1573084,801.4882342,17076.54167,81.9674
