scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,23.50866667,23.38716667,0.1128416,282.9504533,23.45833333,0.1126
pedal,48000,128,24000,5,542.7934167,499.2326667,2.6054084,458.4244458,510.125,2.4486
american,48000,128,24000,5,9401.62325,8800.230875,45.1277916,416.6763791,8319.75,39.9348
british,48000,128,24000,5,7585.611083,7218.532958,36.4109332,426.4653463,7114.166667,34.148
modern,48000,128,24000,5,1087.899333,999.47225,5.2219168,447.0182263,972.5416667,4.6682
compressor,48000,128,24000,5,37.22225,36.50695833,0.1786668,322.1904815,37.16666667,0.1784
delay,48000,128,24000,5,26.40625,23.12670833,0.12675,581.8787842,24.20833333,0.1162
room,48000,128,24000,5,24.05383333,23.44270833,0.1154584,784.4653009,23.83333333,0.1144
all-american,48000,128,24000,5,9677.100708,8825.746542,46.4500834,830.0109819,8416.291667,40.3982
all-british,48000,128,24000,5,8329.309042,7988.434042,39.9806834,825.8753458,7806.791667,37.4726
all-modern,48000,128,24000,5,1512.663167,1480.630208,7.2607832,835.9648392,1436.666667,6.896
automation,48000,128,24000,5,12019.00871,11757.47396,57.6912418,801.4887873,10498.91667,50.3948
