scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,23.13195833,22.484375,0.1110334,282.9504533,23.125,0.111
pedal,48000,128,24000,5,498.2326667,468.8767083,2.3915168,458.4244458,482.6666667,2.3168
american,48000,128,24000,5,12452.79513,11794.125,59.7734166,416.6763783,11266.41667,54.0788
british,48000,128,24000,5,11189.49129,10279.08333,53.7095582,426.4653469,9872.916667,47.39
modern,48000,128,24000,5,1006.517333,992.7708333,4.8312832,447.0182263,973.2916667,4.6718
compressor,48000,128,24000,5,47.079875,37.06075,0.2259834,322.1904815,40.08333333,0.1924
delay,48000,128,24000,5,22.918375,22.578125,0.1100082,581.8787842,22.91666667,0.11
room,48000,128,24000,5,22.671875,22.61283333,0.108825,784.4653009,22.66666667,0.1088
all-american,48000,128,24000,5,11913.34204,11583.14237,57.1840418,830.0109824,11567.20833,55.5226
all-british,48000,128,24000,5,11584.38196,10871.11633,55.6050334,825.8753435,10895.25,52.2972
all-modern,48000,128,24000,5,1573.065958,1452.670167,7.5507166,835.9648392,1435.541667,6.8906
automation,48000,128,24000,5,14779.72917,14629.04342,70.9427,801.4887843,14298.58333,68.6332
