scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,22.94966667,22.54341667,0.1101584,282.9504533,22.95833333,0.1102
pedal,48000,128,24000,5,499.703125,481.0052083,2.398575,458.4244458,491.9166667,2.3612
american,48000,128,24000,5,12939.88892,11783.76562,62.1114668,416.6763783,11406.20833,54.7498
british,48000,128,24000,5,10640.11458,10107.78471,51.07255,426.4653469,9872,47.3856
modern,48000,128,24000,5,1028.631917,959.0399167,4.9374332,447.0182263,981.8333333,4.7128
compressor,48000,128,24000,5,38.78995833,38.15104167,0.1861918,322.1904815,38.70833333,0.1858
delay,48000,128,24000,5,23.58333333,23.52254167,0.1132,581.8787842,23.54166667,0.113
room,48000,128,24000,5,24.03125,23.56420833,0.11535,784.4653009,23.75,0.114
all-american,48000,128,24000,5,12983.09029,12369.40279,62.3188334,830.0109824,11835,56.808
all-british,48000,128,24000,5,11984.72742,11642.56946,57.5266916,825.8753435,10930.45833,52.4662
all-modern,48000,128,24000,5,1479.633667,1449.479167,7.1022416,835.9648392,1433.791667,6.8822
automation,48000,128,24000,5,16046.69967,15269.41667,77.0241584,801.4887843,14546.95833,69.8254
