scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,23.484375,23.423625,0.112725,447.3413182,23.5,0.1128
pedal,48000,128,24000,5,2010.5035,1830.744792,9.6504168,569.1312462,1729.708333,8.3026
american,48000,128,24000,5,6842.583333,6682.223958,32.8444,527.7748802,5899.708333,28.3186
british,48000,128,24000,5,4984.09375,4955.581583,23.92365,517.1875087,4810.125,23.0886
modern,48000,128,24000,5,498.6197917,491.8940833,2.393375,569.2498054,490.4166667,2.354
compressor,48000,128,24000,5,41.81945833,38.48958333,0.2007334,444.7862932,39.83333333,0.1912
delay,48000,128,24000,5,23.69095833,23.671875,0.1137166,646.2340712,23.70833333,0.1138
room,48000,128,24000,5,23.89583333,23.67879167,0.1147,974.9436248,23.875,0.1146
all-american,48000,128,24000,5,8394.7795,7695.784708,40.2949416,1061.987731,7305.583333,35.0668
all-british,48000,128,24000,5,7446.40625,6975.368083,35.74275,1042.348242,6796.166667,32.6216
all-modern,48000,128,24000,5,1928.092,1858.100667,9.2548416,1040.663885,1889.541667,9.0698
automation,48000,128,24000,5,8415.949667,8087.496542,40.3965584,883.3551894,8132.166667,39.0344
