scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,3,23.059,23.02775,0.1106832,169.770272,23.04166667,0.1106
pedal,48000,128,24000,3,3565.670167,3489.619792,17.1152168,275.0549106,3400.875,16.3242
american,48000,128,24000,3,9880.800375,9539.427083,47.4278418,250.005825,9234.625,44.3262
british,48000,128,24000,3,9083.270833,8456.546875,43.5997,255.8792014,7935.583333,38.0908
modern,48000,128,24000,3,997.4635417,975.7934167,4.787825,268.2109358,972.625,4.6686
compressor,48000,128,24000,3,38.13195833,36.89233333,0.1830334,193.3142889,37.45833333,0.1798
delay,48000,128,24000,3,23.050375,22.62154167,0.1106418,349.1272705,23,0.1104
room,48000,128,24000,3,23.951375,23.02433333,0.1149666,470.6791806,23.70833333,0.1138
all-american,48000,128,24000,3,14750.41321,14116.23438,70.8019834,498.0065921,13442.125,64.5222
all-british,48000,128,24000,3,14873.1545,13942.14758,71.3911416,495.525191,12240.54167,58.7546
all-modern,48000,128,24000,3,5245.75175,4982.857625,25.1796084,501.5789037,4047.375,19.4274
automation,48000,128,24000,3,17216.51562,16344.26212,82.639275,480.8929333,15169.70833,72.8146
