scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,28.21875,22.83333333,0.13545,282.9504533,25.20833333,0.121
pedal,48000,128,24000,5,3997.975708,3750.411458,19.1902834,458.424851,3478.875,16.6986
american,48000,128,24000,5,9905.381958,9558.055542,47.5458334,416.676375,9351.666667,44.888
british,48000,128,24000,5,8504.567708,7904.416667,40.821925,426.4653357,7822.958333,37.5502
modern,48000,128,24000,5,1011.975708,956.9496667,4.8574834,447.0182263,976.75,4.6884
compressor,48000,128,24000,5,43.12154167,36.49654167,0.2069834,322.1904815,39.58333333,0.19
delay,48000,128,24000,5,23.605875,22.78470833,0.1133082,581.8787842,23.58333333,0.1132
room,48000,128,24000,5,23.35416667,22.58504167,0.1121,784.4653009,23.29166667,0.1118
all-american,48000,128,24000,5,15800.77083,15034.05383,75.8437,830.0109868,13671.04167,65.621
all-british,48000,128,24000,5,13221.408,12109.96875,63.4627584,825.8753183,11914.91667,57.1916
all-modern,48000,128,24000,5,3928.399292,3854.671875,18.8563166,835.9648395,3811.625,18.2958
automation,48000,128,24000,5,15467.86629,15128.30904,74.2457582,801.4882221,14673.25,70.4316
