scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,23.19791667,22.699625,0.11135,282.9504533,23.16666667,0.1112
pedal,48000,128,24000,5,3416.03125,3388.477417,16.39695,458.424851,3359.291667,16.1246
american,48000,128,24000,5,11219.22046,11108.10938,53.8522582,416.6763783,10993.16667,52.7672
british,48000,128,24000,5,10055.87329,9600.763875,48.2681918,426.4653469,9587.958333,46.0222
modern,48000,128,24000,5,991.0989583,958.2552083,4.757275,447.0182263,963.7083333,4.6258
compressor,48000,128,24000,5,36.57291667,36.09895833,0.17555,322.1904815,36.58333333,0.1756
delay,48000,128,24000,5,23.17879167,22.59545833,0.1112582,581.8787842,23.125,0.111
room,48000,128,24000,5,22.99825,22.50866667,0.1103916,784.4653009,22.95833333,0.1102
all-american,48000,128,24000,5,15290.21704,14964.37325,73.3930418,830.0109858,14540.54167,69.7946
all-british,48000,128,24000,5,14330.76212,13954.25692,68.7876582,825.8752468,13478.29167,64.6958
all-modern,48000,128,24000,5,3918.140625,3879.776042,18.807075,835.9648395,3784.458333,18.1654
automation,48000,128,24000,5,16721.05729,16439.65279,80.261075,801.4882342,16245.875,77.9802
