scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,96000,3,23.44270833,23.26171875,0.112525,0.8122619674,23.33333333,0.112
pedal,48000,128,96000,3,523.5477396,487.0859375,2.51302915,-917.7012967,484.40625,2.32515
american,48000,128,96000,3,6790.613281,6340.597229,32.59494375,-2.71208705,5925.635417,28.44305
british,48000,128,96000,3,5971.375875,5915.381073,28.6626042,-3.831362636,5660.333333,27.1696
modern,48000,128,96000,3,1198.06901,1160.15625,5.75073125,-2.874120134,1060.15625,5.08875
compressor,48000,128,96000,3,23.5395,23.47265625,0.1129896,1.163138035,23.52083333,0.1129
delay,48000,128,96000,3,25.7665,23.907125,0.1236792,0.2027148627,24.08333333,0.1156
room,48000,128,96000,3,22.6475625,22.47395833,0.1087083,-0.7043228292,22.48958333,0.10795
all-american,48000,128,96000,3,6801.718313,6789.986979,32.6482479,-3.007229095,6559.510417,31.48565
all-british,48000,128,96000,3,6438.390188,6412.693146,30.9042729,-4.666590839,6307.645833,30.2767
all-modern,48000,128,96000,3,1682.556854,1549.773,8.0762729,-8.645656993,1432.260417,6.87485
automation,48000,128,96000,3,4956.723083,4825.469187,23.7922708,-314.4129068,4605.020833,22.1041
