scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,23.18575,22.34895833,0.1112916,282.9504533,23.16666667,0.1112
pedal,48000,128,24000,5,3629.574667,3549.215292,17.4219584,458.424851,3417.333333,16.4032
american,48000,128,24000,5,8660.486083,8284.380208,41.5703332,416.6763791,8082.25,38.7948
british,48000,128,24000,5,8412.6875,7861.22225,40.3809,426.4653463,7389.833333,35.4712
modern,48000,128,24000,5,1030.147583,982.546875,4.9447084,447.0182263,984.0833333,4.7236
compressor,48000,128,24000,5,37.75520833,37.71704167,0.181225,322.1904815,37.75,0.1812
delay,48000,128,24000,5,23.35591667,23.27254167,0.1121084,581.8787842,23.33333333,0.112
room,48000,128,24000,5,26.987875,23.55729167,0.1295418,784.4653009,24.25,0.1164
all-american,48000,128,24000,5,12488.28646,11380.28646,59.943775,830.0109891,11150.58333,53.5228
all-british,48000,128,24000,5,11321.10242,10784.85067,54.3412916,825.875247,10590.58333,50.8348
all-modern,48000,128,24000,5,3899.131958,3843.142375,18.7158334,835.9648395,3807.875,18.2778
automation,48000,128,24000,5,13913.73788,12940.30033,66.7859418,801.4882335,12550.125,60.2406
