scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,22.49133333,22.40975,0.1079584,282.9504533,22.45833333,0.1078
pedal,48000,128,24000,5,3509.675333,3392.182292,16.8464416,458.424851,3373.291667,16.1918
american,48000,128,24000,5,9620.90625,9387.256958,46.18035,416.6763925,9009.291667,43.2446
british,48000,128,24000,5,8293.416667,8051.225708,39.8084,426.4653247,7659.708333,36.7666
modern,48000,128,24000,5,1258.114583,1012.3715,6.03895,447.0182263,1014.291667,4.8686
compressor,48000,128,24000,5,37.809,36.55208333,0.1814832,322.1904815,37.79166667,0.1814
delay,48000,128,24000,5,22.56770833,22.37329167,0.108325,581.8787842,22.54166667,0.1082
room,48000,128,24000,5,22.71004167,22.59025,0.1090082,784.4653009,22.66666667,0.1088
all-american,48000,128,24000,5,13878.04342,13223.37154,66.6146084,830.0109392,12642.16667,60.6824
all-british,48000,128,24000,5,12386.07117,10989.31596,59.4531416,825.8753061,11190.66667,53.7152
all-modern,48000,128,24000,5,4393.175375,4119.305542,21.0872418,835.9648395,3877.583333,18.6124
automation,48000,128,24000,5,14504.55379,14023.22917,69.6218582,801.4880887,13725.54167,65.8826
