scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,22.74304167,22.40970833,0.1091666,282.9504533,22.75,0.1092
pedal,48000,128,24000,5,498.0867917,475,2.3908166,458.4244458,485.5416667,2.3306
american,48000,128,24000,5,8242.909708,8005.366292,39.5659666,416.6763791,7884.333333,37.8448
british,48000,128,24000,5,7764.809,7189.815958,37.2710832,426.4653463,7062,33.8976
modern,48000,128,24000,5,970.611125,960.0173333,4.6589334,447.0182263,962.7916667,4.6214
compressor,48000,128,24000,5,37.9965,37.69095833,0.1823832,322.1904815,38,0.1824
delay,48000,128,24000,5,23.267375,22.34720833,0.1116834,581.8787842,23.25,0.1116
room,48000,128,24000,5,24.00170833,23.38716667,0.1152082,784.4653009,23.41666667,0.1124
all-american,48000,128,24000,5,8751.361125,8282.013875,42.0065334,830.0109819,8207.583333,39.3964
all-british,48000,128,24000,5,8158.444458,7931.706625,39.1605334,825.8753458,7830.916667,37.5884
all-modern,48000,128,24000,5,1560.524292,1464.277792,7.4905166,835.9648392,1456.875,6.993
automation,48000,128,24000,5,11081.32812,10671.20312,53.190375,801.4887873,10366.83333,49.7608
