scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,23.51908333,23.18229167,0.1128916,282.9504533,23.5,0.1128
pedal,48000,128,24000,5,523.6145833,473.8541667,2.51335,458.4244458,490.625,2.355
american,48000,128,24000,5,9097.701417,8504.284708,43.6689668,416.6763791,8249.5,39.5976
british,48000,128,24000,5,8447.96875,8101.06075,40.55025,426.4653463,7271.041667,34.901
modern,48000,128,24000,5,1075.00175,1064.430583,5.1600084,447.0182263,1012.458333,4.8598
compressor,48000,128,24000,5,38.283,37.86458333,0.1837584,322.1904815,38.29166667,0.1838
delay,48000,128,24000,5,23.39754167,23.34895833,0.1123082,581.8787842,23.375,0.1122
room,48000,128,24000,5,24.93925,23.32466667,0.1197084,784.4653009,23.625,0.1134
all-american,48000,128,24000,5,10352.66492,9141.309,49.6927916,830.0109819,8720.666667,41.8592
all-british,48000,128,24000,5,9212.25175,9037.40275,44.2188084,825.8753458,8215.708333,39.4354
all-modern,48000,128,24000,5,1695.22225,1508.046875,8.1370668,835.9648392,1508.875,7.2426
automation,48000,128,24000,5,14649.75696,11528.30379,70.3188334,801.4887873,11080.08333,53.1844
