scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,3,23.059,22.93920833,0.1106832,169.770272,23.04166667,0.1106
pedal,48000,128,24000,3,3587.18575,3577.727458,17.2184916,275.0549106,3432.916667,16.478
american,48000,128,24000,3,12564.08158,12054.44271,60.3075916,250.005827,11413.08333,54.7828
british,48000,128,24000,3,11129.14758,10307.97221,53.4199084,255.8792081,9912.125,47.5782
modern,48000,128,24000,3,1041.673583,1029.614583,5.0000332,268.2109358,1000.375,4.8018
compressor,48000,128,24000,3,38.97395833,37.890625,0.187075,193.3142889,38.41666667,0.1844
delay,48000,128,24000,3,24.06425,23.43229167,0.1155084,349.1272705,23.70833333,0.1138
room,48000,128,24000,3,23.41666667,23.35591667,0.1124,470.6791806,23.41666667,0.1124
all-american,48000,128,24000,3,16077.85067,15175.39933,77.1736832,498.0065915,14555.16667,69.8648
all-british,48000,128,24000,3,15235.67013,14023.09029,73.1312166,495.5251481,13623.66667,65.3936
all-modern,48000,128,24000,3,4312.274333,4067.536458,20.6989168,501.5789037,3900.25,18.7212
automation,48000,128,24000,3,18942.0295,18487.89929,90.9217416,480.8929405,16836.29167,80.8142
