scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,96000,3,23.79601042,23.03342708,0.11422085,0.8122619674,23.3125,0.1119
pedal,48000,128,96000,3,2179.933156,2176.454,10.46367915,-917.698621,2089.447917,10.02935
american,48000,128,96000,3,9292.549042,9269.949219,44.6042354,-2.712087563,8460.09375,40.60845
british,48000,128,96000,3,8634.043833,8355.821615,41.4434104,-3.831362572,8121.6875,38.9841
modern,48000,128,96000,3,1154.070312,1127.17101,5.5395375,-2.874120134,1053.041667,5.0546
compressor,48000,128,96000,3,24.11545833,23.59070833,0.1157542,1.163138035,23.66666667,0.1136
delay,48000,128,96000,3,24.44228125,23.92578125,0.11732295,0.2027148627,23.69791667,0.11375
room,48000,128,96000,3,23.47395833,23.33419792,0.112675,-0.7043228292,23.32291667,0.11195
all-american,48000,128,96000,3,11427.6849,11394.98741,54.8528875,-3.007234202,10611,50.9328
all-british,48000,128,96000,3,11143.07943,11055.17621,53.48678125,-4.66659313,10347.35417,49.6673
all-modern,48000,128,96000,3,2538.980906,2506.954,12.18710835,-8.645663245,2478,11.8944
automation,48000,128,96000,3,7247.193573,7032.117615,34.78652915,-314.4124523,6976.21875,33.48585
