scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,24000,5,28.49308333,23.25345833,0.1367668,282.9504533,24.20833333,0.1162
pedal,48000,128,24000,5,2000.185792,1957.272542,9.6008918,457.0258058,1784,8.5632
american,48000,128,24000,5,9524.204875,8624.916667,45.7161834,414.0304212,7641.625,36.6798
british,48000,128,24000,5,6652.649292,5490.980917,31.9327166,424.2954366,5287.333333,25.3792
modern,48000,128,24000,5,585.986125,546.7204583,2.8127334,445.4294367,531.5,2.5512
compressor,48000,128,24000,5,40.03991667,38.82291667,0.1921916,322.1904815,39.5,0.1896
delay,48000,128,24000,5,23.512125,23.43404167,0.1128582,581.8787842,23.45833333,0.1126
room,48000,128,24000,5,27.355875,23.38716667,0.1313082,784.4653009,24.83333333,0.1192
all-american,48000,128,24000,5,9121.696208,8586.201417,43.7841418,825.8420162,7936,38.0928
all-british,48000,128,24000,5,8896.241333,8536.513917,42.7019584,821.8612565,7315.541667,35.1146
all-modern,48000,128,24000,5,2336.428792,2255.029542,11.2148582,831.6453432,2093.583333,10.0492
automation,48000,128,24000,5,11283.16146,10698.17017,54.159175,797.7216215,9327.791667,44.7734
