scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,26.5941875,25.38323958,0.1276521,0.8122619674,24.4375,0.1173,guitar,high
pedal,48000,128,96000,3,675.5998333,638.1158854,3.2428792,-917.7012967,587.4895833,2.81995,guitar,high
american,48000,128,96000,3,7642.638021,6893.213542,36.6846625,-2.71208705,6083.802083,29.20225,guitar,high
british,48000,128,96000,3,7059.979167,6795.37326,33.8879,-3.831362636,5911.489583,28.37515,guitar,high
modern,48000,128,96000,3,1257.114583,1214.375427,6.03415,-2.874120134,1082.666667,5.1968,guitar,high
compressor,48000,128,96000,3,26.61502083,24.617625,0.1277521,1.163138035,24.61458333,0.11815,guitar,high
delay,48000,128,96000,3,25.06901042,24.70052083,0.12033125,0.2027148627,24.1875,0.1161,guitar,high
room,48000,128,96000,3,31.19617708,28.08377083,0.14974165,-0.7043228292,25.22916667,0.1211,guitar,high
all-american,48000,128,96000,3,8884.059031,8331.4605,42.64348335,-3.007229095,6901.822917,33.12875,guitar,high
all-british,48000,128,96000,3,8060.647563,7950.065542,38.6911083,-4.666590839,6597.947917,31.67015,guitar,high
all-modern,48000,128,96000,3,1792.420573,1727.257812,8.60361875,-8.645656993,1510.729167,7.2515,guitar,high
automation,48000,128,96000,3,7371.984802,7050.578125,35.38552705,-314.4129068,5040.15625,24.19275,guitar,high
