scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,25.72483333,24.96484375,0.1234792,0.8122619674,24.36458333,0.11695,guitar,standard
pedal,48000,128,96000,3,303.6071979,284.3211875,1.45731455,-917.8204447,262.2291667,1.2587,guitar,standard
american,48000,128,96000,3,3444.756948,3235.891062,16.53483335,-2.791274809,3127.739583,15.01315,guitar,standard
british,48000,128,96000,3,3328.652771,3168.00825,15.9775333,-3.952954017,3091.177083,14.83765,guitar,standard
modern,48000,128,96000,3,577.953125,571.2148438,2.774175,-3.201420138,561.4895833,2.69515,guitar,standard
compressor,48000,128,96000,3,24.47005208,24.36371875,0.11745625,1.163138035,24.375,0.117,guitar,standard
delay,48000,128,96000,3,24.29036458,23.90104167,0.11659375,0.2027148627,24.15625,0.11595,guitar,standard
room,48000,128,96000,3,24.64192708,24.23567708,0.11828125,-0.7043228292,24.16666667,0.116,guitar,standard
all-american,48000,128,96000,3,3715.253042,3545.095052,17.8332146,-3.002128232,3483.114583,16.71895,guitar,standard
all-british,48000,128,96000,3,3688.590719,3599.824219,17.70523545,-4.723056774,3399.25,16.3164,guitar,standard
all-modern,48000,128,96000,3,801.1666667,777.5243021,3.8456,-8.972197866,758.8020833,3.64225,guitar,standard
automation,48000,128,96000,3,2666.959208,2526.11675,12.8014042,-314.3931372,2468.354167,11.8481,guitar,standard
