scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,48000,128,96000,3,23.22222917,22.65364583,0.1114667,0.8122619674,23.14583333,0.1111
pedal,48000,128,96000,3,2434.099833,2219.526042,11.6836792,-917.698621,2131.302083,10.23025
american,48000,128,96000,3,9608.724396,8904.034719,46.1218771,-2.712087563,8477.520833,40.6921
british,48000,128,96000,3,8943.917531,8637.30599,42.93080415,-3.831362572,8241.3125,39.5583
modern,48000,128,96000,3,1079.633677,1073.00825,5.18224165,-2.874120134,1037.489583,4.97995
compressor,48000,128,96000,3,38.74001042,23.65841667,0.18595205,1.163138035,28.76041667,0.13805
delay,48000,128,96000,3,31.11458333,25.23654167,0.14935,0.2027148627,26.19791667,0.12575
room,48000,128,96000,3,23.09591667,22.87977083,0.1108604,-0.7043228292,23.05208333,0.11065
all-american,48000,128,96000,3,11857.9132,11712.6224,56.91798335,-3.007234202,10742.76042,51.56525
all-british,48000,128,96000,3,11010.59679,10976.71138,52.8508646,-4.66659313,10323.82292,49.55435
all-modern,48000,128,96000,3,2827.911896,2601.782552,13.5739771,-8.645663245,2567.604167,12.3245
automation,48000,128,96000,3,7893.387156,7103.261719,37.88825835,-314.4124523,7203.760417,34.57805
