phase,input,variant,scenario,rate,outer_runs,baseline_cpu_ns,candidate_cpu_ns,cpu_saving_percent,cpu_saving_min_percent,cpu_saving_max_percent,baseline_elapsed_ns,candidate_elapsed_ns,elapsed_saving_percent
quick,stereo,diode_lut,bypass,96000,1,23.083333335,24.52083333,-6.2274368009944014,-6.2274368009944014,-6.2274368009944014,23.08420833,35.140625,-52.22798415976695
quick,stereo,diode_lut,pedal,96000,1,1753.8645835,266.7916667,84.78835428858524,84.78835428858524,84.78835428858524,1970.8906145,279.3107708,85.82819519535543
quick,stereo,diode_lut,american,96000,1,5678.927083,5698.270833,-0.3406233205195841,-0.3406233205195841,-0.3406233205195841,6287.207906,6566.95225,-4.4494209223308046
quick,stereo,diode_lut,british,96000,1,4999.8125,5005.5,-0.11375426578497105,-0.11375426578497105,-0.11375426578497105,5577.34375,5547.848958,0.5288322420507141
quick,stereo,diode_lut,modern,96000,1,516.61458335,552.6041667,-6.966428070346886,-6.966428070346886,-6.966428070346886,577.4370625,666.0868125,-15.35227919319777
quick,stereo,diode_lut,compressor,96000,1,38.635416665,37.54166667,2.8309517261938533,2.8309517261938533,2.8309517261938533,39.957468750000004,37.57552083,5.961208240949956
quick,stereo,diode_lut,delay,96000,1,23.270833335,23.45833333,-0.8057296114015511,-0.8057296114015511,-0.8057296114015511,23.32726042,23.47483333,-0.6326199791274023
quick,stereo,diode_lut,room,96000,1,23.09375,23.5625,-2.0297699594046037,-2.0297699594046037,-2.0297699594046037,23.2569375,24.49739583,-5.333713133984208
quick,stereo,diode_lut,all-american,96000,1,7378.8125,5990.958333,18.808638476719665,18.808638476719665,18.808638476719665,9141.891061999999,6863.283854,24.9249000293983
quick,stereo,diode_lut,all-british,96000,1,6905.322916499999,5599.583333,18.90917483931108,18.90917483931108,18.90917483931108,7751.676219,6410.942708,17.29604634045152
quick,stereo,diode_lut,all-modern,96000,1,2066.28125,749.0208333,63.7502961757989,63.7502961757989,63.7502961757989,2612.2769065,752.8941042,71.17862572966095
quick,stereo,diode_lut,automation,96000,1,8538.541666500001,7431.875,12.960839329763797,12.960839329763797,12.960839329763797,9767.821615,8252.785583,15.510480143018047
quick,stereo,pi_math,bypass,96000,1,23.083333335,23.33333333,-1.0830324692358895,-1.0830324692358895,-1.0830324692358895,23.08420833,23.58854167,-2.1847547587091176
quick,stereo,pi_math,pedal,96000,1,1753.8645835,1739.270833,0.8320910654844749,0.8320910654844749,0.8320910654844749,1970.8906145,2103.467021,-6.726725751526974
quick,stereo,pi_math,american,96000,1,5678.927083,4083.145833,28.100048242862773,28.100048242862773,28.100048242862773,6287.207906,4432.973958,29.49216847482441
quick,stereo,pi_math,british,96000,1,4999.8125,3604.458333,27.90812989487106,27.90812989487106,27.90812989487106,5577.34375,3791.065958,32.027392824765364
quick,stereo,pi_math,modern,96000,1,516.61458335,515.0416667,0.30446617278986343,0.30446617278986343,0.30446617278986343,577.4370625,522.9731042,9.432016376676556
quick,stereo,pi_math,compressor,96000,1,38.635416665,38.20833333,1.1054192548333397,1.1054192548333397,1.1054192548333397,39.957468750000004,39.3350625,1.5576718682912216
quick,stereo,pi_math,delay,96000,1,23.270833335,23.66666667,-1.7009847877027084,-1.7009847877027084,-1.7009847877027084,23.32726042,25.36025,-8.71508073985825
quick,stereo,pi_math,room,96000,1,23.09375,23.60416667,-2.2101939702300566,-2.2101939702300566,-2.2101939702300566,23.2569375,23.61458333,-1.5378027739034739
quick,stereo,pi_math,all-american,96000,1,7378.8125,5635.333333,23.62818091664479,23.62818091664479,23.62818091664479,9141.891061999999,6160.194438,32.61575317161659
quick,stereo,pi_math,all-british,96000,1,6905.322916499999,5312.604167,23.065087161880005,23.065087161880005,23.065087161880005,7751.676219,5848.251729,24.555005088248517
quick,stereo,pi_math,all-modern,96000,1,2066.28125,2040.645833,1.2406547753361252,1.2406547753361252,1.2406547753361252,2612.2769065,2298.192708,12.023388398009416
quick,stereo,pi_math,automation,96000,1,8538.541666500001,6430.4375,24.689276563126793,24.689276563126793,24.689276563126793,9767.821615,6754.574646,30.8487100580614
quick,stereo,oversampling,bypass,96000,1,23.083333335,23.375,-1.2635378988257395,-1.2635378988257395,-1.2635378988257395,23.08420833,23.37414583,-1.2559993215067289
quick,stereo,oversampling,pedal,96000,1,1753.8645835,854.0208333,51.30634135984877,51.30634135984877,51.30634135984877,1970.8906145,870.8550417,55.8141362441401
quick,stereo,oversampling,american,96000,1,5678.927083,3714.458333,34.59225169276574,34.59225169276574,34.59225169276574,6287.207906,3850.744792,38.75270470497465
quick,stereo,oversampling,british,96000,1,4999.8125,2592.229167,48.15347241521557,48.15347241521557,48.15347241521557,5577.34375,2687.314229,51.81731036391651
quick,stereo,oversampling,modern,96000,1,516.61458335,301.4583333,41.64734349054066,41.64734349054066,41.64734349054066,577.4370625,309.4566042,46.40860029659076
quick,stereo,oversampling,compressor,96000,1,38.635416665,39.08333333,-1.159342136474928,-1.159342136474928,-1.159342136474928,39.957468750000004,43.30816667,-8.385661116233734
quick,stereo,oversampling,delay,96000,1,23.270833335,23.77083333,-2.148612332881039,-2.148612332881039,-2.148612332881039,23.32726042,24.59547917,-5.436638195682297
quick,stereo,oversampling,room,96000,1,23.09375,23.3125,-0.9472259810554773,-0.9472259810554773,-0.9472259810554773,23.2569375,23.3359375,-0.339683589036599
quick,stereo,oversampling,all-american,96000,1,7378.8125,3949.708333,46.47230387003328,46.47230387003328,46.47230387003328,9141.891061999999,4217.945312,53.861347905000876
quick,stereo,oversampling,all-british,96000,1,6905.322916499999,3619.75,47.58029358263972,47.58029358263972,47.58029358263972,7751.676219,3789.597229,51.11254492658783
quick,stereo,oversampling,all-modern,96000,1,2066.28125,1084.645833,47.50734765656901,47.50734765656901,47.50734765656901,2612.2769065,1164.382812,55.42651664903045
quick,stereo,oversampling,automation,96000,1,8538.541666500001,4717.125,44.75491033197033,44.75491033197033,44.75491033197033,9767.821615,6302.673604,35.475136090515115
quick,stereo,stereo,bypass,96000,1,23.083333335,23.5,-1.8050541442740098,-1.8050541442740098,-1.8050541442740098,23.08420833,23.4939375,-1.7749327338530518
quick,stereo,stereo,pedal,96000,1,1753.8645835,1729.4375,1.3927576695376032,1.3927576695376032,1.3927576695376032,1970.8906145,2192.258688,-11.231880240911241
quick,stereo,stereo,american,96000,1,5678.927083,5869.416667,-3.3543234701892244,-3.3543234701892244,-3.3543234701892244,6287.207906,6903.069458,-9.795469804844092
quick,stereo,stereo,british,96000,1,4999.8125,5176.291667,-3.5297157043389316,-3.5297157043389316,-3.5297157043389316,5577.34375,5993.234375,-7.456786664798987
quick,stereo,stereo,modern,96000,1,516.61458335,540.9166667,-4.704103239287694,-4.704103239287694,-4.704103239287694,577.4370625,589.1484375,-2.02816475778258
quick,stereo,stereo,compressor,96000,1,38.635416665,39.52083333,-2.2917228321290617,-2.2917228321290617,-2.2917228321290617,39.957468750000004,40.99566667,-2.598257478459498
quick,stereo,stereo,delay,96000,1,23.270833335,24.125,-3.670546098215177,-3.670546098215177,-3.670546098215177,23.32726042,24.8376875,-6.474944133195382
quick,stereo,stereo,room,96000,1,23.09375,23.9375,-3.653585926928282,-3.653585926928282,-3.653585926928282,23.2569375,23.95572917,-3.004659018411182
quick,stereo,stereo,all-american,96000,1,7378.8125,7565.020833,-2.523554203335565,-2.523554203335565,-2.523554203335565,9141.891061999999,8449.372396,7.575223346060023
quick,stereo,stereo,all-british,96000,1,6905.322916499999,7143.229167,-3.445258873144552,-3.445258873144552,-3.445258873144552,7751.676219,9042.620667,-16.653745738706014
quick,stereo,stereo,all-modern,96000,1,2066.28125,2050.520833,0.7627430680116731,0.7627430680116731,0.7627430680116731,2612.2769065,2198.825521,15.827241915710744
