scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,96000,128,48000,3,23.16145833,23.04514583,0.22235,343.0981185,23.16666667,0.2224
pedal,96000,128,48000,3,1813.574646,1808.835063,17.4103166,544.7152509,1722.854167,16.5394
american,96000,128,48000,3,6373.819458,5846.697917,61.1886668,491.7812756,5692.333333,54.6464
british,96000,128,48000,3,5351.159729,4971.857625,51.3711334,499.7725176,4989,47.8944
modern,96000,128,48000,3,506.2170208,503.6284583,4.8596834,527.1031139,504.2916667,4.8412
compressor,96000,128,48000,3,37.61979167,36.77952083,0.36115,387.9653993,37.58333333,0.3608
delay,96000,128,48000,3,23.26129167,23.25520833,0.2233084,701.7035574,23.16666667,0.2224
room,96000,128,48000,3,23.07552083,22.782125,0.221525,945.0660391,22.77083333,0.2186
all-american,96000,128,48000,3,7789.298604,7478.132812,74.7772666,981.2380326,7290,69.984
all-british,96000,128,48000,3,7373.794271,7157.727437,70.788425,972.1423922,6914.3125,66.3774
all-modern,96000,128,48000,3,2565.509542,2226.495667,24.6288916,979.9284663,2071.625,19.8876
automation,96000,128,48000,3,10211.54948,9264.241313,98.030875,931.7372833,8557,82.1472
