scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent
bypass,96000,128,48000,3,26.80989583,24.1649375,0.257375,343.0981185,24.5,0.2352
pedal,96000,128,48000,3,2075.125,1814.284729,19.9212,544.7152509,1723.229167,16.543
american,96000,128,48000,3,5527.083333,5144.175354,53.06,491.7812693,4625.895833,44.4086
british,96000,128,48000,3,4719.395833,4162.329854,45.3062,499.7725333,3992.854167,38.3314
modern,96000,128,48000,3,641.6875,559.5390625,6.1602,527.1031139,547.2083333,5.2532
compressor,96000,128,48000,3,40.13977083,39.45660417,0.3853418,387.9653993,38.6875,0.3714
delay,96000,128,48000,3,29.36197917,23.30035417,0.281875,701.7035574,24.58333333,0.236
room,96000,128,48000,3,24.64408333,23.55902083,0.2365832,945.0660391,23.97916667,0.2302
all-american,96000,128,48000,3,7474.822917,7011.411458,71.7583,981.2379415,6584.6875,63.213
all-british,96000,128,48000,3,6201.819458,5945.09375,59.5374668,972.1424093,5649.083333,54.2312
all-modern,96000,128,48000,3,2445.105896,2106.631083,23.4730166,979.9284663,2057.854167,19.7554
automation,96000,128,48000,3,7972.337667,7505.591146,76.5344416,931.7372482,7126.895833,68.4182
