host_rate,string,bend_semitones,pressure,frames,checksum,finite,peak
192000,3,-2,0,86400,9931059781199368533,1,0.00992607325
192000,3,-2,0.300000012,86400,12825170139837397975,1,0.00979465619
192000,3,-2,1,86400,10788713258541008496,1,0.00432954775
192000,3,0,0,86400,18441378691514325240,1,0.0099341115
192000,3,0,0.300000012,86400,735628168302842290,1,0.00981685612
192000,3,0,1,86400,1038459788948591699,1,0.00470876833
192000,3,2,0,86400,14519126263924724525,1,0.00994127616
192000,3,2,0.300000012,86400,15339220610199170991,1,0.00983666535
192000,3,2,1,86400,12732658361589639799,1,0.00508116139
192000,7,-2,0,86400,9898545184003546237,1,0.00997302216
192000,7,-2,0.300000012,86400,7937131473978745103,1,0.00989039708
192000,7,-2,1,86400,8290770246230129812,1,0.00747034419
192000,7,0,0,86400,17200378216109431601,1,0.00997599959
192000,7,0,0.300000012,86400,13663022074104686143,1,0.00990233477
192000,7,0,1,86400,2432359791469656257,1,0.00770350778
192000,7,2,0,86400,2145333276336645285,1,0.00997859892
192000,7,2,0.300000012,86400,16473701175460005522,1,0.0099129295
192000,7,2,1,86400,9857016164412775318,1,0.00792380981
