scenario,rate,block_size,frames,peak_error,rms_error,rms_error_dbfs,relative_rms_error_db,reference_rms_dbfs,changed_samples,pass
bypass,48000,128,192000,0,0,-inf,-inf,-36.28258738,0,true
pedal,48000,128,192000,0,0,-inf,-inf,-38.30558391,0,true
american,48000,128,192000,1.043081284e-07,1.155790786e-08,-158.7424154,-122.8718539,-35.87056151,364426,true
british,48000,128,192000,3.036111593e-07,2.142100795e-08,-153.383202,-120.1536105,-33.22959143,359858,true
modern,48000,128,192000,0,0,-inf,-inf,-33.77866826,0,true
compressor,48000,128,192000,0,0,-inf,-inf,-32.88000473,0,true
delay,48000,128,192000,0,0,-inf,-inf,-35.51766627,0,true
room,48000,128,192000,0,0,-inf,-inf,-36.165448,0,true
all-american,48000,128,192000,1.266598701e-07,1.759364548e-08,-155.0928833,-122.064411,-33.02847225,368386,true
all-british,48000,128,192000,3.352761269e-07,2.959757964e-08,-150.574876,-120.7441597,-29.83071635,366614,true
all-modern,48000,128,192000,0,0,-inf,-inf,-30.40558147,0,true
automation,48000,128,192000,2.330198186e-06,8.352924513e-08,-141.5632289,-112.1874343,-29.37579454,245737,true
