scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,23.72178125,23.06380208,0.11386455,0.9310751245,23.70833333,0.1138,guitar-mono,high
pedal,48000,128,96000,3,468.4535521,467.2339479,2.24857705,-917.8626202,466.1354167,2.23745,guitar-mono,high
american,48000,128,96000,3,5668.720052,5602.444885,27.20985625,-2.718066422,5595.166667,26.8568,guitar-mono,high
british,48000,128,96000,3,5431.551219,5415.075083,26.07144585,-3.791846578,5385.71875,25.85145,guitar-mono,high
modern,48000,128,96000,3,1035.792531,1006.808594,4.97180415,-2.868082033,1023.447917,4.91255,guitar-mono,high
compressor,48000,128,96000,3,24.21051042,24.20660417,0.11621045,1.338700048,24.20833333,0.1162,guitar-mono,high
delay,48000,128,96000,3,25.06163542,24.27647917,0.12029585,0.3256386294,24.53125,0.11775,guitar-mono,high
room,48000,128,96000,3,22.9140625,22.89930208,0.1099875,-0.3580064295,22.90625,0.10995,guitar-mono,high
all-american,48000,128,96000,3,6756.479167,6471.771698,32.4311,-2.814319943,6536.322917,31.37435,guitar-mono,high
all-british,48000,128,96000,3,6377.642792,6216.697917,30.6126854,-4.412266446,6200.114583,29.76055,guitar-mono,high
all-modern,48000,128,96000,3,1489.990448,1403.937062,7.15195415,-8.162814311,1403.197917,6.73535,guitar-mono,high
automation,48000,128,96000,3,4433.44401,4428.288635,21.28053125,-315.3471389,4401,21.1248,guitar-mono,high
