scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,32.26171875,25.16622917,0.15485625,0.8122619674,27.72916667,0.1331,guitar,high
pedal,48000,128,96000,3,616.8528646,590.3329062,2.96089375,-917.7012967,510.9270833,2.45245,guitar,high
american,48000,128,96000,3,7376.036031,7361.290365,35.40497295,-2.71208705,6124.885417,29.39945,guitar,high
british,48000,128,96000,3,7005.630646,6732.690531,33.6270271,-3.831362636,5898.46875,28.31265,guitar,high
modern,48000,128,96000,3,1224.90451,1200.542969,5.87954165,-2.874120134,1088.572917,5.22515,guitar,high
compressor,48000,128,96000,3,27.14236458,25.08941667,0.13028335,1.163138035,25.86458333,0.12415,guitar,high
delay,48000,128,96000,3,24.47526042,24.44270833,0.11748125,0.2027148627,24.30208333,0.11665,guitar,high
room,48000,128,96000,3,34.76605208,30.06119792,0.16687705,-0.7043228292,33.35416667,0.1601,guitar,high
all-american,48000,128,96000,3,8541.323781,8046.213115,40.99835415,-3.007229095,6875.375,33.0018,guitar,high
all-british,48000,128,96000,3,7843.625875,7720.200521,37.6494042,-4.666590839,6624.5,31.7976,guitar,high
all-modern,48000,128,96000,3,1685.958771,1658.371094,8.0926021,-8.645656993,1508.1875,7.2393,guitar,high
automation,48000,128,96000,3,5643.025604,5317.799042,27.0865229,-314.4129068,4802.4375,23.0517,guitar,high
