profile,input,oversampling,scenario,rate,frames,repeats,baseline_cpu_ns,mono_reuse_cpu_ns,cpu_saving_percent,saving_min_percent,saving_max_percent,baseline_elapsed_ns,mono_reuse_elapsed_ns,elapsed_saving_percent,all_four_printed_checksums_equal
standard-guitar-mono,guitar-mono,standard,bypass,48000,96000,3,23.265625,23.911458335,-2.775912252518453,-2.798298648757558,-2.753525856279393,23.37456771,23.95182292,-2.46958667711763,True
standard-guitar-mono,guitar-mono,standard,pedal,48000,96000,3,242.75520835,153.49479165,36.76972259697349,36.39425862394684,37.14518657000012,244.33290104999998,155.1571146,36.497657935863145,True
standard-guitar-mono,guitar-mono,standard,american,48000,96000,3,3009.3125,1539.9375,48.82759766557976,48.656946827556126,48.99824850360339,3037.085068,1562.6994325,48.5460763359823,True
standard-guitar-mono,guitar-mono,standard,british,48000,96000,3,2936.010417,1497.348958,49.00055703719255,48.99896048291167,49.002153591473444,2969.6530000000002,1509.427083,49.17160075604793,True
standard-guitar-mono,guitar-mono,standard,modern,48000,96000,3,546.64583335,297.6145833,45.55623309590895,45.470482876772124,45.641983315045785,553.2480469,300.55642190000003,45.674201005480306,True
standard-guitar-mono,guitar-mono,standard,compressor,48000,96000,3,23.604166665,23.859375,-1.081200360182244,-3.1774051405597525,1.0150044201952424,23.912109375,23.990671875,-0.3285469247733319,True
standard-guitar-mono,guitar-mono,standard,delay,48000,96000,3,23.208333335,23.572916665,-1.570915604914136,-2.6929981829304728,-0.4488330268977547,23.404291665,23.570531250000002,-0.7102953055768246,True
standard-guitar-mono,guitar-mono,standard,room,48000,96000,3,23.380208335,23.510416665,-0.5569168937005653,-0.6014702392086235,-0.5123635481924849,23.424692705,23.572697915,-0.6318341583555043,True
standard-guitar-mono,guitar-mono,standard,all-american,48000,96000,3,3360.8177084999998,1718.8229165,48.85700250409758,48.7615396204105,48.95246538778465,3397.4134065,1744.4414065,48.65383755881755,True
standard-guitar-mono,guitar-mono,standard,all-british,48000,96000,3,3253.4114584999998,1667.40625,48.74898944479757,48.70224365136199,48.79573523823316,3285.1955260000004,1683.5744325,48.752687041739264,True
