scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,23.94835417,23.72309375,0.1149521,0.9310751245,23.90625,0.11475,guitar-mono,standard
pedal,48000,128,96000,3,153.9153646,152.6731771,0.73879375,-917.9817885,152.5833333,0.7324,guitar-mono,standard
american,48000,128,96000,3,1575.525167,1552.805552,7.5625208,-2.797435253,1545.072917,7.41635,guitar-mono,standard
british,48000,128,96000,3,1506.919708,1502.147573,7.2332146,-3.912325167,1497.395833,7.1875,guitar-mono,standard
modern,48000,128,96000,3,299.8298646,295.1284688,1.43918335,-3.19597186,297.1458333,1.4263,guitar-mono,standard
compressor,48000,128,96000,3,23.37413542,23.36415625,0.11219585,1.338700048,23.36458333,0.11215,guitar-mono,standard
delay,48000,128,96000,3,23.83377083,23.52734375,0.1144021,0.3256386294,23.83333333,0.1144,guitar-mono,standard
room,48000,128,96000,3,23.58289583,23.27257292,0.1131979,-0.3580064295,23.5,0.1128,guitar-mono,standard
all-american,48000,128,96000,3,1735.848521,1734.981771,8.3320729,-2.814791796,1715.614583,8.23495,guitar-mono,standard
all-british,48000,128,96000,3,1681.869792,1666.835938,8.072975,-4.480423479,1665.885417,7.99625,guitar-mono,standard
all-modern,48000,128,96000,3,395.2868958,394.8606771,1.8973771,-8.504532693,392.9895833,1.88635,guitar-mono,standard
automation,48000,128,96000,3,1224.536031,1217.463969,5.87777295,-315.3305707,1211.145833,5.8135,guitar-mono,standard
