scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,23.69791667,23.1714375,0.11375,0.9310751245,23.48958333,0.11275,guitar-mono,standard
pedal,48000,128,96000,3,244.5121563,243.0290729,1.17365835,-917.9817885,243.2604167,1.16765,guitar-mono,standard
american,48000,128,96000,3,3051.890188,3034.516927,14.6490729,-2.797435253,3018.59375,14.48925,guitar-mono,standard
british,48000,128,96000,3,2970.625875,2963.159281,14.2590042,-3.912325167,2938.885417,14.10665,guitar-mono,standard
modern,48000,128,96000,3,559.0247396,553.546,2.68331875,-3.19597186,551.4166667,2.6468,guitar-mono,standard
compressor,48000,128,96000,3,24.33072917,23.13671875,0.1167875,1.338700048,23.92708333,0.11485,guitar-mono,standard
delay,48000,128,96000,3,23.91102083,22.94965625,0.1147729,0.3256386294,23.53125,0.11295,guitar-mono,standard
room,48000,128,96000,3,23.27777083,23.13325,0.1117333,-0.3580064295,23.28125,0.11175,guitar-mono,standard
all-american,48000,128,96000,3,3369.497823,3364.606771,16.17358955,-2.814791796,3343.5,16.0488,guitar-mono,standard
all-british,48000,128,96000,3,3273.481333,3257.733073,15.7127104,-4.480423479,3244.916667,15.5756,guitar-mono,standard
all-modern,48000,128,96000,3,738.0894063,733.592875,3.54282915,-8.504532693,730.78125,3.50775,guitar-mono,standard
automation,48000,128,96000,3,2366.35851,2362.939667,11.35852085,-315.3305707,2347.604167,11.2685,guitar-mono,standard
