scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,23.94705208,22.99479167,0.11494585,0.8122619674,23.71875,0.11385,guitar,standard
pedal,48000,128,96000,3,257.8250833,253.3402708,1.2375604,-917.8204447,253.90625,1.21875,guitar,standard
american,48000,128,96000,3,3239.899313,3209.605906,15.5515167,-2.791274809,3133.375,15.0402,guitar,standard
british,48000,128,96000,3,3078.391927,3071.704865,14.77628125,-3.952954017,3019.229167,14.4923,guitar,standard
modern,48000,128,96000,3,578.7695312,564.9635417,2.77809375,-3.201420138,563.78125,2.70615,guitar,standard
compressor,48000,128,96000,3,25.4461875,24.60460417,0.1221417,1.163138035,24.5625,0.1179,guitar,standard
delay,48000,128,96000,3,24.13411458,23.54383333,0.11584375,0.2027148627,23.88541667,0.11465,guitar,standard
room,48000,128,96000,3,23.94878125,23.93966667,0.11495415,-0.7043228292,23.91666667,0.1148,guitar,standard
all-american,48000,128,96000,3,3490.772135,3485.195312,16.75570625,-3.002128232,3421.979167,16.4255,guitar,standard
all-british,48000,128,96000,3,3363.560333,3356.596792,16.1450896,-4.723056774,3313.645833,15.9055,guitar,standard
all-modern,48000,128,96000,3,833.6336771,755.0716146,4.00144165,-8.972197866,760.4375,3.6501,guitar,standard
automation,48000,128,96000,3,2461.97526,2445.458333,11.81748125,-314.3931372,2411.822917,11.57675,guitar,standard
