scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,23.87109375,23.61848958,0.11458125,0.8122619674,23.66666667,0.1136,guitar,high
pedal,48000,128,96000,3,504.7035521,493.5828958,2.42257705,-917.7012967,488.0729167,2.34275,guitar,high
american,48000,128,96000,3,6000.667969,5990.103729,28.80320625,-2.71208705,5851.322917,28.08635,guitar,high
british,48000,128,96000,3,5803.667969,5798.113281,27.85760625,-3.831362636,5666.927083,27.20125,guitar,high
modern,48000,128,96000,3,1313.059896,1188.056854,6.3026875,-2.874120134,1128.916667,5.4188,guitar,high
compressor,48000,128,96000,3,24.59765625,24.4145,0.11806875,1.163138035,24.17708333,0.11605,guitar,high
delay,48000,128,96000,3,23.70745833,23.66102083,0.1137958,0.2027148627,23.69791667,0.11375,guitar,high
room,48000,128,96000,3,27.77647917,24.40625,0.1333271,-0.7043228292,24.42708333,0.11725,guitar,high
all-american,48000,128,96000,3,6798.669271,6684.315104,32.6336125,-3.007229095,6554.635417,31.46225,guitar,high
all-british,48000,128,96000,3,6412.117615,6398.039062,30.77816455,-4.666590839,6268.21875,30.08745,guitar,high
all-modern,48000,128,96000,3,1441.89974,1435.950083,6.92111875,-8.645656993,1408.5,6.7608,guitar,high
automation,48000,128,96000,3,4681.282979,4576.255208,22.4701583,-314.4129068,4560.354167,21.8897,guitar,high
