scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,23.77952083,22.75520833,0.1141417,0.8122619674,23.21875,0.11145,guitar,standard
pedal,48000,128,96000,3,257.0173542,247.5004375,1.2336833,-917.8204447,249.4791667,1.1975,guitar,standard
american,48000,128,96000,3,3171.638885,3089.639323,15.22386665,-2.791274809,3069.010417,14.73125,guitar,standard
british,48000,128,96000,3,3124.083333,3117.026479,14.9956,-3.952954017,2995.458333,14.3782,guitar,standard
modern,48000,128,96000,3,554.6857708,554.1484375,2.6624917,-3.201420138,545.5,2.6184,guitar,standard
compressor,48000,128,96000,3,24.20226042,23.01953125,0.11617085,1.163138035,23.59375,0.11325,guitar,standard
delay,48000,128,96000,3,24.1163125,23.07985417,0.1157583,0.2027148627,23.375,0.1122,guitar,standard
room,48000,128,96000,3,23.69444792,23.59938542,0.11373335,-0.7043228292,23.59375,0.11325,guitar,standard
all-american,48000,128,96000,3,3507.868927,3420.144969,16.83777085,-3.002128232,3389.09375,16.26765,guitar,standard
all-british,48000,128,96000,3,3538.807292,3265.615448,16.986275,-4.723056774,3419.520833,16.4137,guitar,standard
all-modern,48000,128,96000,3,726.3784792,725.8763021,3.4866167,-8.972197866,722.15625,3.46635,guitar,standard
automation,48000,128,96000,3,2480.543406,2385.828125,11.90660835,-314.3931372,2393.677083,11.48965,guitar,standard
