scenario,rate,block_size,frames,repeats,median_ns_per_frame,min_ns_per_frame,median_realtime_percent,checksum,median_cpu_ns_per_frame,cpu_realtime_percent,input,oversampling
bypass,48000,128,96000,3,23.09548958,22.98697917,0.11085835,0.9310751245,23.0625,0.1107,guitar-mono,high
pedal,48000,128,96000,3,258.4110208,253.3107604,1.2403729,-917.8626202,256.0833333,1.2292,guitar-mono,high
american,48000,128,96000,3,2813.396271,2810.206167,13.5043021,-2.718066422,2799.541667,13.4378,guitar-mono,high
british,48000,128,96000,3,2773.320312,2722.306427,13.3119375,-3.791846578,2740.1875,13.1529,guitar-mono,high
modern,48000,128,96000,3,520.4197083,517.8958333,2.4980146,-2.868082033,518.0729167,2.48675,guitar-mono,high
compressor,48000,128,96000,3,24.05425,24.01345833,0.1154604,1.338700048,24.02083333,0.1153,guitar-mono,high
delay,48000,128,96000,3,24.00173958,23.44401042,0.11520835,0.3256386294,23.84375,0.11445,guitar-mono,high
room,48000,128,96000,3,23.625,23.3046875,0.1134,-0.3580064295,23.47916667,0.1127,guitar-mono,high
all-american,48000,128,96000,3,3211.606333,3185.101125,15.4157104,-2.814319943,3176.4375,15.2469,guitar-mono,high
all-british,48000,128,96000,3,3105.50999,3093.615021,14.90644795,-4.412266446,3064.416667,14.7092,guitar-mono,high
all-modern,48000,128,96000,3,712.1158854,711.9704896,3.41815625,-8.162814311,705.28125,3.38535,guitar-mono,high
automation,48000,128,96000,3,2236.68924,2235.909719,10.73610835,-315.3471389,2218.833333,10.6504,guitar-mono,high
